,Player,Cluster,Role,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,USG%
0,James Harden,7,Star ball handler,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,40.5
1,Paul George,7,Star ball handler,28.0,8.2,4.1,2.2,0.4,0.43799999999999994,0.386,0.8390000000000001,29.5
2,Giannis Antetokounmpo,5,Star big,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.7290000000000001,32.3
3,Joel Embiid,5,Star big,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,33.3
4,LeBron James,7,Star ball handler,27.4,8.5,8.3,1.3,0.6,0.51,0.33899999999999997,0.665,31.6
5,Stephen Curry,7,Star ball handler,27.3,5.3,5.2,1.3,0.4,0.47200000000000003,0.43700000000000006,0.9159999999999999,30.4
6,Devin Booker,8,Team-leading guard,26.6,4.1,6.8,0.9,0.2,0.467,0.326,0.866,32.9
7,Kawhi Leonard,7,Star ball handler,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.8540000000000001,30.3
8,Kevin Durant,7,Star ball handler,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,29.0
9,Anthony Davis,5,Star big,25.9,12.0,3.9,1.6,2.4,0.517,0.331,0.794,29.5
10,Damian Lillard,7,Star ball handler,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,29.3
11,Bradley Beal,8,Team-leading guard,25.6,5.0,5.5,1.5,0.7,0.475,0.35100000000000003,0.8079999999999999,28.4
12,Kemba Walker,8,Team-leading guard,25.6,4.4,5.9,1.2,0.4,0.434,0.35600000000000004,0.8440000000000001,31.5
13,Blake Griffin,7,Star ball handler,24.5,7.5,5.4,0.7,0.4,0.462,0.36200000000000004,0.753,30.2
14,Karl-Anthony Towns,5,Star big,24.4,12.4,3.4,0.9,1.6,0.518,0.4,0.836,28.9
15,Kyrie Irving,7,Star ball handler,23.8,5.0,6.9,1.5,0.5,0.48700000000000004,0.401,0.873,29.6
16,Donovan Mitchell,8,Team-leading guard,23.8,4.1,4.2,1.4,0.4,0.43200000000000005,0.36200000000000004,0.8059999999999999,31.6
17,Zach LaVine,8,Team-leading guard,23.7,4.7,4.5,1.0,0.4,0.467,0.374,0.8320000000000001,30.5
18,Russell Westbrook,5,Star big,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.6559999999999999,30.9
19,Klay Thompson,6,Shooter,21.5,3.8,2.4,1.1,0.6,0.467,0.402,0.816,25.6
20,Julius Randle,11,Inside big,21.4,8.7,3.1,0.7,0.6,0.524,0.344,0.731,27.8
21,LaMarcus Aldridge,11,Inside big,21.3,9.2,2.4,0.5,1.3,0.519,0.23800000000000002,0.847,26.9
22,DeMar DeRozan,8,Team-leading guard,21.2,6.0,6.2,1.1,0.5,0.48100000000000004,0.156,0.83,27.9
23,Luka Doncic,8,Team-leading guard,21.2,7.8,6.0,1.1,0.3,0.42700000000000005,0.327,0.713,30.5
24,Jrue Holiday,8,Team-leading guard,21.2,5.0,7.7,1.6,0.8,0.47200000000000003,0.325,0.768,25.4
25,Mike Conley,8,Team-leading guard,21.1,3.4,6.4,1.3,0.3,0.43799999999999994,0.364,0.845,27.3
26,D'Angelo Russell,8,Team-leading guard,21.1,3.9,7.0,1.2,0.2,0.434,0.369,0.78,31.9
27,CJ McCollum,6,Shooter,21.0,4.0,3.0,0.8,0.4,0.45899999999999996,0.375,0.828,25.5
28,Nikola Vucevic,5,Star big,20.8,12.0,3.8,1.0,1.1,0.518,0.364,0.789,28.0
29,Buddy Hield,6,Shooter,20.7,5.0,2.5,0.7,0.4,0.45799999999999996,0.42700000000000005,0.8859999999999999,25.1
30,Nikola Jokic,5,Star big,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,27.4
31,Tobias Harris,2,Perimiter scorer,20.0,7.9,2.8,0.6,0.5,0.48700000000000004,0.397,0.866,22.8
32,Lou Williams,8,Team-leading guard,20.0,3.0,5.4,0.8,0.1,0.425,0.361,0.8759999999999999,32.4
33,Danilo Gallinari,6,Shooter,19.8,6.1,2.6,0.7,0.3,0.46299999999999997,0.433,0.904,23.8
34,John Collins,11,Inside big,19.5,9.8,2.0,0.4,0.6,0.56,0.348,0.763,23.7
35,Trae Young,8,Team-leading guard,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.8290000000000001,28.4
36,Jimmy Butler,8,Team-leading guard,18.7,5.3,4.0,1.9,0.6,0.462,0.34700000000000003,0.855,22.3
37,Kyle Kuzma,2,Perimiter scorer,18.7,5.5,2.5,0.6,0.4,0.456,0.303,0.752,23.8
38,Lauri Markkanen,2,Perimiter scorer,18.7,9.0,1.4,0.7,0.6,0.43,0.361,0.872,25.1
39,Brandon Ingram,2,Perimiter scorer,18.3,5.1,3.0,0.5,0.6,0.49700000000000005,0.33,0.675,23.2
40,Khris Middleton,6,Shooter,18.3,6.0,4.3,1.0,0.1,0.441,0.37799999999999995,0.8370000000000001,25.1
41,Jamal Murray,6,Shooter,18.2,4.2,4.8,0.9,0.4,0.43700000000000006,0.36700000000000005,0.848,24.9
42,Tim Hardaway,6,Shooter,18.1,3.4,2.4,0.8,0.1,0.39299999999999996,0.34,0.841,25.4
43,J.J. Redick,6,Shooter,18.1,2.4,2.7,0.4,0.2,0.44,0.397,0.894,21.9
44,Andrew Wiggins,2,Perimiter scorer,18.1,4.8,2.5,1.0,0.7,0.41200000000000003,0.33899999999999997,0.6990000000000001,24.4
45,Bojan Bogdanovic,6,Shooter,18.0,4.1,2.0,0.9,0.0,0.49700000000000005,0.425,0.807,22.4
46,Derrick Rose,6,Shooter,18.0,2.7,4.3,0.6,0.2,0.48200000000000004,0.37,0.856,27.3
47,Andre Drummond,5,Star big,17.3,15.6,1.4,1.7,1.7,0.5329999999999999,0.132,0.59,22.9
48,De'Aaron Fox,8,Team-leading guard,17.3,3.8,7.3,1.6,0.6,0.45799999999999996,0.371,0.727,24.5
49,Pascal Siakam,9,Do it all big,16.9,6.9,3.1,0.9,0.7,0.5489999999999999,0.369,0.785,20.8
50,Ben Simmons,5,Star big,16.9,8.8,7.7,1.4,0.8,0.563,0.0,0.6,22.1
51,Jordan Clarkson,6,Shooter,16.8,3.3,2.4,0.7,0.2,0.44799999999999995,0.324,0.8440000000000001,27.6
52,Spencer Dinwiddie,6,Shooter,16.8,2.4,4.6,0.6,0.3,0.442,0.335,0.8059999999999999,24.9
53,Collin Sexton,4,???,16.7,2.9,3.0,0.5,0.1,0.43,0.402,0.8390000000000001,25.2
54,Clint Capela,3,Rim runner,16.6,12.7,1.4,0.7,1.5,0.648,0.0,0.636,18.2
55,Montrezl Harrell,11,Inside big,16.6,6.5,2.0,0.9,1.3,0.615,0.17600000000000002,0.643,23.5
56,Josh Richardson,6,Shooter,16.6,3.6,4.1,1.1,0.5,0.41200000000000003,0.35700000000000004,0.861,20.9
57,Harrison Barnes,6,Shooter,16.4,4.7,1.5,0.6,0.2,0.42,0.395,0.8240000000000001,20.9
58,Deandre Ayton,11,Inside big,16.3,10.3,1.8,0.9,0.9,0.585,0.0,0.746,21.2
59,Eric Gordon,6,Shooter,16.2,2.2,1.9,0.6,0.4,0.409,0.36,0.7829999999999999,22.0
60,Aaron Gordon,2,Perimiter scorer,16.0,7.4,3.7,0.7,0.7,0.449,0.349,0.731,21.8
61,Eric Bledsoe,10,Floor general,15.9,4.6,5.5,1.5,0.4,0.484,0.32899999999999996,0.75,22.9
62,Rudy Gobert,5,Star big,15.9,12.9,2.0,0.8,2.3,0.669,0.0,0.636,17.8
63,Jayson Tatum,2,Perimiter scorer,15.7,6.0,2.1,1.1,0.7,0.45,0.373,0.855,22.1
64,Malcolm Brogdon,6,Shooter,15.6,4.5,3.2,0.7,0.2,0.505,0.426,0.9279999999999999,20.7
65,Jusuf Nurkic,11,Inside big,15.6,10.4,3.2,1.0,1.4,0.508,0.10300000000000001,0.773,24.7
66,Chris Paul,10,Floor general,15.6,4.6,8.2,2.0,0.3,0.419,0.358,0.862,22.5
67,Dennis Schroder,4,???,15.5,3.6,4.1,0.8,0.2,0.414,0.341,0.8190000000000001,24.2
68,Reggie Jackson,6,Shooter,15.4,2.6,4.2,0.7,0.1,0.42100000000000004,0.369,0.8640000000000001,24.5
69,Jeremy Lamb,6,Shooter,15.3,5.5,2.2,1.1,0.4,0.44,0.348,0.888,22.5
70,Kelly Oubre,2,Perimiter scorer,15.2,4.7,1.2,1.2,0.9,0.445,0.32,0.775,23.2
71,Evan Fournier,6,Shooter,15.1,3.2,3.6,0.9,0.1,0.43799999999999994,0.34,0.8059999999999999,22.1
72,Terrence Ross,6,Shooter,15.1,3.5,1.7,0.9,0.4,0.428,0.38299999999999995,0.875,23.9
73,Serge Ibaka,9,Do it all big,15.0,8.1,1.3,0.4,1.4,0.529,0.29,0.763,22.9
